id,url,title,img,location,classification
35,https://www.mafengwo.cn/poi/7047467.html,武汉杜莎夫人蜡像馆,https://p1-q.mafengwo.net/s12/M00/A4/A3/wKgED1wszjyAFuLYAA7u5fToNt870.jpeg?imageMogr2%2Fthumbnail%2F%21192x130r%2Fgravity%2FCenter%2Fcrop%2F%21192x130%2Fquality%2F100,武汉,武汉
36,https://www.mafengwo.cn/poi/5785.html,华中科技大学,https://n1-q.mafengwo.net/s9/M00/1F/3A/wKgBs1diUSqAea3-AAt87as_J9424.jpeg?imageMogr2%2Fthumbnail%2F%21192x130r%2Fgravity%2FCenter%2Fcrop%2F%21192x130%2Fquality%2F100,武汉,大学
37,https://www.mafengwo.cn/poi/5434197.html,武汉博物馆,https://n1-q.mafengwo.net/s12/M00/ED/07/wKgED1z4wzeAXg1YABNyQ6U5aoY12.jpeg?imageMogr2%2Fthumbnail%2F%21192x130r%2Fgravity%2FCenter%2Fcrop%2F%21192x130%2Fquality%2F100,武汉,武汉
38,https://www.mafengwo.cn/poi/8087723.html,武汉别克.汉秀剧场,https://p1-q.mafengwo.net/s12/M00/0D/4F/wKgED1v63-OAee2mAAvAJhcI3Dg15.jpeg?imageMogr2%2Fthumbnail%2F%21192x130r%2Fgravity%2FCenter%2Fcrop%2F%21192x130%2Fquality%2F100,武汉,武汉
39,https://www.mafengwo.cn/poi/59194400.html,张之洞与武汉博物馆,https://p1-q.mafengwo.net/s12/M00/88/A1/wKgED1w-mJeALQmfAChX1EOvN8M05.jpeg?imageMogr2%2Fthumbnail%2F%21192x130r%2Fgravity%2FCenter%2Fcrop%2F%21192x130%2Fquality%2F100,武汉,武汉
40,https://www.mafengwo.cn/poi/5773.html,东湖梅园,https://n1-q.mafengwo.net/s13/M00/10/F1/wKgEaVyEYPiAedhKAAEvGQd2vrM97.jpeg?imageMogr2%2Fthumbnail%2F%21192x130r%2Fgravity%2FCenter%2Fcrop%2F%21192x130%2Fquality%2F100,武汉,公园
41,https://www.mafengwo.cn/poi/3303451.html,龟山公园,https://b1-q.mafengwo.net/s13/M00/96/39/wKgEaVy8ik6AdgLDADK64gtBlnM05.jpeg?imageMogr2%2Fthumbnail%2F%21192x130r%2Fgravity%2FCenter%2Fcrop%2F%21192x130%2Fquality%2F100,武汉,公园
42,https://www.mafengwo.cn/poi/6243.html,武汉美术馆,https://n1-q.mafengwo.net/s12/M00/50/9F/wKgED1vGxwaAZ2DPABGH2_uWXmw26.jpeg?imageMogr2%2Fthumbnail%2F%21192x130r%2Fgravity%2FCenter%2Fcrop%2F%21192x130%2Fquality%2F100,武汉,武汉
43,https://www.mafengwo.cn/poi/5688581.html,东湖南路凌波门,https://b1-q.mafengwo.net/s14/M00/F6/44/wKgE2l1YMM2AT-s7AC8VrW8jLDI102.jpg?imageMogr2%2Fthumbnail%2F%21192x130r%2Fgravity%2FCenter%2Fcrop%2F%21192x130%2Fquality%2F100,武汉,武汉
44,https://www.mafengwo.cn/poi/6218.html,中山公园,https://n1-q.mafengwo.net/s13/M00/84/30/wKgEaVzb4muARBLyAEDbRUWZ5uo46.jpeg?imageMogr2%2Fthumbnail%2F%21192x130r%2Fgravity%2FCenter%2Fcrop%2F%21192x130%2Fquality%2F100,武汉,公园
45,https://www.mafengwo.cn/poi/18680089.html,神农架国际滑雪场,https://p1-q.mafengwo.net/s15/M00/4A/71/CoUBGV4LCZmAceleADGoRIHdm5s82.jpeg?imageMogr2%2Fthumbnail%2F%21192x130r%2Fgravity%2FCenter%2Fcrop%2F%21192x130%2Fquality%2F100,武汉,武汉
46,https://www.mafengwo.cn/poi/6239.html,宋庆龄旧居,https://n1-q.mafengwo.net/s12/M00/38/82/wKgED1ubxmOAf7KgAAJGmQJPRXI95.jpeg?imageMogr2%2Fthumbnail%2F%21192x130r%2Fgravity%2FCenter%2Fcrop%2F%21192x130%2Fquality%2F100,武汉,武汉
47,https://www.mafengwo.cn/poi/33583420.html,武汉科技馆,https://p1-q.mafengwo.net/s13/M00/8D/E5/wKgEaVzb5MSAFVTjADHkvDTrDxA43.jpeg?imageMogr2%2Fthumbnail%2F%21192x130r%2Fgravity%2FCenter%2Fcrop%2F%21192x130%2Fquality%2F100,武汉,武汉
48,https://www.mafengwo.cn/poi/35812.html,铁门关,https://p1-q.mafengwo.net/s3/M00/3C/11/wKgBjE9G7_PZ9RKnAAEf_IhDxN097.jpeg?imageMogr2%2Fthumbnail%2F%21192x130r%2Fgravity%2FCenter%2Fcrop%2F%21192x130%2Fquality%2F100,武汉,武汉
49,https://www.mafengwo.cn/poi/5433190.html,武汉木兰云雾山景区,https://n1-q.mafengwo.net/s13/M00/93/A2/wKgEaVykdtyAd1T8AAHNr0eo-1Y97.jpeg?imageMogr2%2Fthumbnail%2F%21192x130r%2Fgravity%2FCenter%2Fcrop%2F%21192x130%2Fquality%2F100,武汉,武汉
